year,month,day,temp_min,temp_max,average
2020,1,1,9,20,14.5
2020,1,2,8,19,13.5
2020,1,3,10,21,15.5
2020,1,4,9,17,13
2020,1,5,10,17,13.5
2020,1,6,4,18,11
2020,1,7,8,20,14
2020,1,8,8,22,15
2020,1,9,5,22,13.5
2020,1,10,8,21,14.5
2020,1,11,5,20,12.5
2020,1,12,6,21,13.5
2020,1,13,5,23,14
2020,1,14,4,22,13
2020,1,15,4,22,13
2020,1,16,1,18,9.5
2020,1,17,3,22,12.5
2020,1,18,5,22,13.5
2020,1,19,7,22,14.5
2020,1,20,5,20,12.5
2020,1,21,5,21,13
2020,1,22,6,22,14
2020,1,23,6,21,13.5
2020,1,24,5,14,9.5
2020,1,25,4,16,10
2020,1,26,4,20,12
2020,1,27,4,19,11.5
2020,1,28,4,18,11
2020,1,29,5,19,12
2020,1,30,7,20,13.5
2020,1,31,6,20,13
2020,2,1,5,21,13
2020,2,2,6,22,14
2020,2,3,5,21,13
2020,2,4,2,22,12
2020,2,5,7,20,13.5
2020,2,6,5,22,13.5
2020,2,7,8,23,15.5
2020,2,8,11,22,16.5
2020,2,9,9,23,16
2020,2,10,8,23,15.5
2020,2,11,4,22,13
2020,2,12,6,22,14
2020,2,13,7,22,14.5
2020,2,14,7,21,14
2020,2,15,7,21,14
2020,2,16,8,23,15.5
2020,2,17,7,23,15
2020,2,18,7,20,13.5
2020,2,19,7,22,14.5
2020,2,20,8,24,16
2020,2,21,12,25,18.5
2020,2,22,13,24,18.5
2020,2,23,10,23,16.5
2020,2,24,8,22,15
2020,2,25,8,23,15.5
2020,2,26,11,23,17
2020,2,27,11,20,15.5
2020,2,28,9,23,16
2020,2,29,8,24,16
2020,3,1,8,25,16.5
2020,3,2,10,24,17
2020,3,3,10,22,16
2020,3,4,10,22,16
2020,3,5,10,23,16.5
2020,3,6,11,25,18
2020,3,7,10,25,17.5
2020,3,8,10,25,17.5
2020,3,9,9,25,17
2020,3,10,8,25,16.5
2020,3,11,12,27,19.5
2020,3,12,12,28,20
2020,3,13,11,28,19.5
2020,3,14,13,29,21
2020,3,15,12,28,20
2020,3,16,12,28,20
2020,3,17,11,27,19
2020,3,18,11,27,19
2020,3,19,9,27,18
2020,3,20,10,26,18
2020,3,21,11,25,18
2020,3,22,10,26,18
2020,3,23,11,25,18
2020,3,24,10,26,18
2020,3,25,11,27,19
2020,3,26,12,27,19.5
2020,3,27,13,29,21
2020,3,28,15,29,22
2020,3,29,13,29,21
2020,3,30,11,29,20
2020,3,31,11,29,20
2020,4,1,13,30,21.5
2020,4,2,12,28,20
2020,4,3,11,29,20
2020,4,4,10,27,18.5
2020,4,5,11,27,19
2020,4,6,11,25,18
2020,4,7,11,28,19.5
2020,4,8,11,26,18.5
2020,4,9,14,28,21
2020,4,10,11,24,17.5
2020,4,11,11,29,20
2020,4,12,14,29,21.5
2020,4,13,12,24,18
2020,4,14,11,27,19
2020,4,15,12,30,21
2020,4,16,13,28,20.5
2020,4,17,13,27,20
2020,4,18,12,28,20
2020,4,19,14,29,21.5
2020,4,20,14,30,22
2020,4,21,13,29,21
2020,4,22,10,25,17.5
2020,4,23,13,25,19
2020,4,24,14,21,17.5
2020,4,25,13,18,15.5
2020,4,26,13,21,17
2020,4,27,13,19,16
2020,4,28,11,24,17.5
2020,4,29,14,21,17.5
2020,4,30,13,21,17
2020,5,1,12,22,17
2020,5,2,13,26,19.5
2020,5,3,15,26,20.5
2020,5,4,15,27,21
2020,5,5,16,28,22
2020,5,6,15,27,21
2020,5,7,13,29,21
2020,5,8,14,30,22
2020,5,9,14,30,22
2020,5,10,15,31,23
2020,5,11,15,31,23
2020,5,12,16,29,22.5
2020,5,13,15,28,21.5
2020,5,14,14,28,21
2020,5,15,15,28,21.5
2020,5,16,16,30,23
2020,5,17,15,31,23
2020,5,18,16,30,23
2020,5,19,19,32,25.5
2020,5,20,19,28,23.5
2020,5,21,19,27,23
2020,5,22,17,30,23.5
2020,5,23,19,32,25.5
2020,5,24,18,29,23.5
2020,5,25,17,29,23
2020,5,26,17,28,22.5
2020,5,27,16,25,20.5
2020,5,28,16,23,19.5
2020,5,29,15,26,20.5
2020,5,30,16,26,21
2020,5,31,16,29,22.5
2020,6,1,16,29,22.5
2020,6,2,18,27,22.5
2020,6,3,19,30,24.5
2020,6,4,18,28,23
2020,6,5,19,26,22.5
2020,6,6,19,31,25
2020,6,7,19,29,24
2020,6,8,20,29,24.5
2020,6,9,19,29,24
2020,6,10,19,27,23
2020,6,11,19,26,22.5
2020,6,12,19,26,22.5
2020,6,13,20,29,24.5
2020,6,14,20,30,25
2020,6,15,21,25,23
2020,6,16,20,26,23
2020,6,17,20,27,23.5
2020,6,18,20,27,23.5
2020,6,19,19,29,24
2020,6,20,19,27,23
2020,6,21,20,27,23.5
2020,6,22,20,28,24
2020,6,23,20,27,23.5
2020,6,24,20,28,24
2020,6,25,20,26,23
2020,6,26,19,27,23
2020,6,27,19,25,22
2020,6,28,20,29,24.5
2020,6,29,20,29,24.5
2020,6,30,20,30,25
2020,7,1,20,28,24
2020,7,2,19,26,22.5
2020,7,3,19,27,23
2020,7,4,19,24,21.5
2020,7,4,19,24,21.5
2020,7,5,19,25,22
2020,7,5,19,25,22
2020,7,6,20,27,23.5
2020,7,7,20,28,24
2020,7,8,19,26,22.5
2020,7,9,19,24,21.5
2020,7,10,19,24,21.5
2020,7,11,19,25,22
2020,7,12,18,23,20.5
2020,7,13,18,21,19.5
2020,7,14,18,25,21.5
2020,7,15,19,27,23
2020,7,16,18,26,22
2020,7,17,19,24,21.5
2020,7,18,19,23,21
2020,7,19,19,23,21
2020,7,20,19,23,21
2020,7,21,19,25,22
2020,7,22,19,26,22.5
2020,7,23,17,23,20
2020,7,24,19,29,24
2020,7,25,20,29,24.5
2020,7,26,20,28,24
2020,7,27,18,26,22
2020,7,28,19,29,24
2020,7,29,16,28,22
2020,7,30,19,29,24
2020,7,31,20,30,25
2020,8,1,19,29,24
2020,8,2,20,30,25
2020,8,3,19,29,24
2020,8,4,18,27,22.5
2020,8,5,20,27,23.5
2020,8,6,19,28,23.5
2020,8,7,18,26,22
2020,8,8,19,26,22.5
2020,8,9,19,25,22
2020,8,10,19,23,21
2020,8,11,19,26,22.5
2020,8,12,19,26,22.5
2020,8,13,19,27,23
2020,8,14,19,24,21.5
2020,8,15,19,24,21.5
2020,8,16,18,23,20.5
2020,8,17,18,22,20
2020,8,18,18,23,20.5
2020,8,19,18,23,20.5
2020,8,20,18,26,22
2020,8,21,18,27,22.5
2020,8,22,18,27,22.5
2020,8,23,19,27,23
2020,8,24,19,27,23
2020,8,25,16,23,19.5
2020,8,26,18,29,23.5
2020,8,27,17,29,23
2020,8,28,17,27,22
2020,8,29,18,27,22.5
2020,8,30,19,26,22.5
2020,8,31,17,24,20.5
2020,9,1,18,28,23
2020,9,2,18,30,24
2020,9,3,18,29,23.5
2020,9,4,19,29,24
2020,9,5,18,29,23.5
2020,9,6,20,26,23
2020,9,7,19,25,22
2020,9,8,19,28,23.5
2020,9,9,20,28,24
2020,9,10,18,24,21
2020,9,11,19,25,22
2020,9,12,19,26,22.5
2020,9,13,19,24,21.5
2020,9,14,18,26,22
2020,9,15,19,27,23
2020,9,16,19,25,22
2020,9,17,18,28,23
2020,9,18,16,26,21
2020,9,19,16,24,20
2020,9,20,19,27,23
2020,9,21,18,26,22
2020,9,22,19,27,23
2020,9,23,19,24,21.5
2020,9,24,18,25,21.5
2020,9,25,18,26,22
2020,9,26,18,27,22.5
2020,9,27,18,26,22
2020,9,28,19,28,23.5
2020,9,29,18,27,22.5
2020,9,30,18,27,22.5
2020,10,1,19,30,24.5
2020,10,2,18,29,23.5
2020,10,3,18,28,23
2020,10,4,18,27,22.5
2020,10,5,17,27,22
2020,10,6,18,26,22
2020,10,7,17,26,21.5
2020,10,8,13,26,19.5
2020,10,9,13,28,20.5
2020,10,10,12,28,20
2020,10,11,15,28,21.5
2020,10,12,13,28,20.5
2020,10,13,14,28,21
2020,10,14,15,27,21
2020,10,15,18,27,22.5
2020,10,16,16,24,20
2020,10,17,14,24,19
2020,10,18,16,25,20.5
2020,10,19,15,23,19
2020,10,20,15,22,18.5
2020,10,21,15,21,18
2020,10,22,13,21,17
2020,10,23,12,23,17.5
2020,10,24,14,25,19.5
2020,10,25,16,26,21
2020,10,26,15,26,20.5
2020,10,27,17,26,21.5
2020,10,28,15,26,20.5
2020,10,29,16,26,21
2020,10,30,16,24,20
2020,10,31,17,25,21
2020,11,1,15,26,20.5
2020,11,2,16,24,20
2020,11,3,16,24,20
2020,11,4,15,22,18.5
2020,11,5,13,24,18.5
2020,11,6,12,25,18.5
2020,11,7,14,25,19.5
2020,11,8,12,23,17.5
2020,11,9,10,22,16
2020,11,10,8,24,16
2020,11,11,10,23,16.5
2020,11,12,8,24,16
2020,11,13,10,24,17
2020,11,14,10,22,16
2020,11,15,10,24,17
2020,11,16,11,25,18
2020,11,17,8,24,16
2020,11,18,8,22,15
2020,11,19,6,24,15
2020,11,20,7,24,15.5
2020,11,21,6,23,14.5
2020,11,22,8,25,16.5
2020,11,23,7,24,15.5
2020,11,24,7,24,15.5
2020,11,25,7,23,15
2020,11,26,6,24,15
2020,11,27,6,24,15
2020,11,28,7,22,14.5
2020,11,29,8,22,15
2020,11,30,7,22,14.5
2020,12,1,8,22,15
2020,12,2,8,21,14.5
2020,12,3,9,21,15
2020,12,3,9,21,15
2020,12,4,10,21,15.5
2020,12,5,8,20,14
2020,12,6,7,21,14
2020,12,7,6,20,13
2020,12,8,6,21,13.5
2020,12,9,6,21,13.5
2020,12,10,6,21,13.5
2020,12,11,5,22,13.5
2020,12,12,8,23,15.5
2020,12,13,7,23,15
2020,12,14,7,22,14.5
2020,12,15,8,24,16
2020,12,16,8,23,15.5
2020,12,17,8,22,15
2020,12,18,7,22,14.5
2020,12,19,8,22,15
2020,12,20,7,22,14.5
2020,12,21,6,20,13
2020,12,22,5,20,12.5
2020,12,23,5,22,13.5
2020,12,24,5,22,13.5
2020,12,25,4,21,12.5
2020,12,26,4,22,13
2020,12,27,3,22,12.5
2020,12,28,3,21,12
2020,12,29,3,23,13
2020,12,30,10,23,16.5
2020,12,31,3,22,12.5
2021,1,1,5,23,14
2021,1,2,4,22,13
2021,1,3,5,22,13.5
2021,1,4,6,24,15
2021,1,5,4,24,14
2021,1,6,6,23,14.5
2021,1,7,6,23,14.5
2021,1,8,8,23,15.5
2021,1,9,7,23,15
2021,1,10,7,23,15
2021,1,11,6,19,12.5
2021,1,12,6,13,9.5
2021,1,13,5,20,12.5
2021,1,14,5,20,12.5
2021,1,15,3,20,11.5
2021,1,16,5,20,12.5
2021,1,17,3,19,11
2021,1,18,5,17,11
2021,1,19,5,19,12
2021,1,20,3,17,10
2021,1,21,3,18,10.5
2021,1,22,3,19,11
2021,1,23,6,20,13
2021,1,24,2,19,10.5
2021,1,25,5,22,13.5
2021,1,26,5,22,13.5
2021,1,27,5,22,13.5
2021,1,28,5,22,13.5
2021,1,29,7,22,14.5
2021,1,30,6,21,13.5
2021,1,31,5,20,12.5
2021,2,1,6,20,13
2021,2,2,3,21,12
2021,2,3,4,21,12.5
2021,2,4,4,22,13
2021,2,5,7,22,14.5
2021,2,6,9,22,15.5
2021,2,7,6,15,10.5
2021,2,8,8,15,11.5
2021,2,9,3,16,9.5
2021,2,10,4,19,11.5
2021,2,11,5,22,13.5
2021,2,12,5,22,13.5
2021,2,13,6,22,14
2021,2,14,6,21,13.5
2021,2,15,6,22,14
2021,2,16,5,21,13
2021,2,17,6,24,15
2021,2,18,8,18,13
2021,2,19,9,21,15
2021,2,20,8,21,14.5
2021,2,21,6,20,13
2021,2,22,7,24,15.5
2021,2,23,9,22,15.5
2021,2,24,8,25,16.5
2021,2,25,9,21,15
2021,2,26,8,21,14.5
2021,2,27,7,23,15
2021,2,28,7,21,14
2021,3,1,7,22,14.5
2021,3,2,9,25,17
2021,3,3,7,22,14.5
2021,3,4,11,25,18
2021,3,5,9,24,16.5
2021,3,6,9,23,16
2021,3,7,8,25,16.5
2021,3,8,12,24,18
2021,3,9,13,24,18.5
2021,3,10,15,24,19.5
2021,3,11,10,26,18
2021,3,12,10,26,18
2021,3,13,11,26,18.5
2021,3,14,11,27,19
2021,3,15,10,27,18.5
2021,3,16,11,27,19
2021,3,17,13,27,20
2021,3,18,10,29,19.5
2021,3,19,9,29,19
2021,3,20,13,29,21
2021,3,21,13,29,21
2021,3,22,14,28,21
2021,3,23,12,26,19
2021,3,24,12,28,20
2021,3,25,12,27,19.5
2021,3,26,11,28,19.5
2021,3,27,11,28,19.5
2021,3,28,12,28,20
2021,3,29,12,28,20
2021,3,30,11,27,19
2021,3,31,12,25,18.5
2021,4,1,13,27,20
2021,4,2,13,28,20.5
2021,4,3,15,28,21.5
2021,4,4,12,24,18
2021,4,5,12,23,17.5
2021,4,6,9,24,16.5
2021,4,7,11,23,17
2021,4,8,12,25,18.5
2021,4,9,12,24,18
2021,4,10,13,25,19
2021,4,11,13,25,19
2021,4,12,11,28,19.5
2021,4,13,14,28,21
2021,4,14,10,24,17
2021,4,15,13,29,21
2021,4,16,12,28,20
2021,4,17,13,26,19.5
2021,4,18,12,27,19.5
2021,4,19,12,26,19
2021,4,20,12,28,20
2021,4,21,12,28,20
2021,4,22,16,31,23.5
2021,4,23,16,31,23.5
2021,4,24,14,31,22.5
2021,4,25,15,30,22.5
2021,4,26,15,31,23
2021,4,27,15,31,23
2021,4,28,14,29,21.5
2021,4,29,16,23,19.5
2021,4,30,16,26,21
2021,5,1,15,26,20.5
2021,5,2,14,27,20.5
2021,5,3,14,29,21.5
2021,5,4,14,27,20.5
2021,5,5,15,26,20.5
2021,5,6,14,22,18
2021,5,7,14,25,19.5
2021,5,8,14,27,20.5
2021,5,9,13,26,19.5
2021,5,10,13,26,19.5
2021,5,11,13,26,19.5
2021,5,12,14,27,20.5
2021,5,13,14,26,20
2021,5,14,13,25,19
2021,5,15,14,27,20.5
2021,5,16,14,28,21
2021,5,17,15,29,22
2021,5,18,16,30,23
2021,5,19,16,27,21.5
2021,5,20,16,25,20.5
2021,5,21,16,28,22
2021,5,22,17,30,23.5
2021,5,23,17,30,23.5
2021,5,24,17,33,25
2021,5,25,16,29,22.5
2021,5,26,16,27,21.5
2021,5,27,19,28,23.5
2021,5,28,18,29,23.5
2021,5,29,17,31,24
2021,5,30,17,29,23
2021,5,31,17,28,22.5
2021,6,1,16,27,21.5
2021,6,2,18,26,22
2021,6,3,19,28,23.5
2021,6,4,16,28,22
2021,6,4,16,28,22
2021,6,4,16,28,22
2021,6,5,16,27,21.5
2021,6,6,18,30,24
2021,6,7,19,30,24.5
2021,6,8,17,29,23
2021,6,9,19,24,21.5
2021,6,10,17,27,22
2021,6,11,18,25,21.5
2021,6,12,19,27,23
2021,6,13,19,29,24
2021,6,14,18,29,23.5
2021,6,15,18,29,23.5
2021,6,16,17,28,22.5
2021,6,17,17,28,22.5
2021,6,18,17,27,22
2021,6,19,17,27,22
2021,6,20,18,27,22.5
2021,6,21,18,28,23
2021,6,22,19,29,24
2021,6,23,18,28,23
2021,6,24,19,27,23
2021,6,25,19,26,22.5
2021,6,26,19,26,22.5
2021,6,27,19,26,22.5
2021,6,28,19,24,21.5
2021,6,29,19,23,21
2021,6,30,18,26,22
2021,7,1,19,24,21.5
2021,7,2,18,23,20.5
2021,7,3,18,24,21
2021,7,4,18,26,22
2021,7,5,19,28,23.5
2021,7,6,19,25,22
2021,7,7,18,28,23
2021,7,8,19,29,24
2021,7,9,18,27,22.5
2021,7,10,17,27,22
2021,7,11,17,27,22
2021,7,12,17,27,22
2021,7,13,18,28,23
2021,7,14,19,28,23.5
2021,7,15,17,28,22.5
2021,7,16,18,25,21.5
2021,7,17,19,26,22.5
2021,7,18,19,25,22
2021,7,19,19,29,24
2021,7,20,19,29,24
2021,7,21,18,26,22
2021,7,22,17,24,20.5
2021,7,23,20,28,24
2021,7,24,20,28,24
2021,7,25,18,25,21.5
2021,7,26,19,30,24.5
2021,7,27,19,26,22.5
2021,7,28,19,26,22.5
2021,7,29,19,26,22.5
2021,7,30,19,26,22.5
2021,7,31,18,27,22.5
2021,8,1,19,26,22.5
2021,8,2,16,30,23
2021,8,3,17,27,22
2021,8,4,18,29,23.5
2021,8,5,19,29,24
2021,8,6,17,26,21.5
2021,8,7,18,28,23
2021,8,8,19,28,23.5
2021,8,9,20,28,24
2021,8,10,19,25,22
2021,8,11,18,26,22
2021,8,12,17,22,19.5
2021,8,13,18,20,19
2021,8,14,17,24,20.5
2021,8,15,18,25,21.5
2021,8,16,18,22,20
2021,8,17,18,24,21
2021,8,18,17,22,19.5
2021,8,19,17,23,20
2021,8,20,18,26,22
2021,8,21,18,27,22.5
2021,8,22,18,25,21.5
2021,8,23,19,26,22.5
2021,8,24,19,25,22
2021,8,25,18,22,20
2021,8,26,17,25,21
2021,8,27,18,25,21.5
2021,8,28,18,26,22
2021,8,29,17,24,20.5
2021,8,30,17,25,21
2021,8,31,17,27,22
2021,9,1,17,26,21.5
2021,9,2,18,27,22.5
2021,9,3,17,27,22
2021,9,4,17,26,21.5
2021,9,5,18,26,22
2021,9,6,17,27,22
2021,9,7,18,25,21.5
2021,9,8,17,27,22
2021,9,9,16,27,21.5
2021,9,10,17,25,21
2021,9,11,15,28,21.5
2021,9,12,17,29,23
2021,9,13,17,29,23
2021,9,14,18,27,22.5
2021,9,15,18,26,22
2021,9,16,18,25,21.5
2021,9,17,18,25,21.5
2021,9,18,18,26,22
2021,9,19,18,24,21
2021,9,20,16,24,20
2021,9,21,16,24,20
2021,9,22,17,26,21.5
2021,9,23,16,26,21
2021,9,24,16,27,21.5
2021,9,25,16,27,21.5
2021,9,26,16,26,21
2021,9,27,16,26,21
2021,9,28,15,27,21
2021,9,29,18,26,22
2021,9,30,16,27,21.5
2021,10,1,16,26,21
2021,10,2,17,25,21
2021,10,3,17,26,21.5
2021,10,4,17,25,21
2021,10,5,17,26,21.5
2021,10,6,17,26,21.5
2021,10,7,17,26,21.5
2021,10,8,17,26,21.5
2021,10,9,16,27,21.5
2021,10,10,16,27,21.5
2021,10,11,17,27,22
2021,10,12,15,23,19
2021,10,13,14,27,20.5
2021,10,14,14,22,18
2021,10,15,16,22,19
2021,10,16,14,20,17
2021,10,17,13,21,17
2021,10,18,17,27,22
2021,10,19,17,25,21
2021,10,20,16,25,20.5
2021,10,21,17,24,20.5
2021,10,22,15,21,18
2021,10,23,14,20,17
2021,10,24,15,20,17.5
2021,10,25,15,21,18
2021,10,26,13,21,17
2021,10,27,16,25,20.5
2021,10,28,16,23,19.5
2021,10,29,14,23,18.5
2021,10,30,14,23,18.5
2021,10,31,16,22,19
2021,11,1,13,24,18.5
2021,11,2,12,23,17.5
2021,11,3,12,23,17.5
2021,11,4,13,24,18.5
2021,11,5,11,22,16.5
2021,11,6,10,22,16
2021,11,7,10,26,18
2021,11,8,11,22,16.5
2021,11,9,13,23,18
2021,11,10,12,23,17.5
2021,11,11,11,24,17.5
2021,11,12,11,22,16.5
2021,11,13,12,21,16.5
2021,11,14,12,20,16
2021,11,15,15,21,18
2021,11,16,10,18,14
2021,11,17,11,23,17
2021,11,18,10,22,16
2021,11,19,9,24,16.5
2021,11,20,8,24,16
2021,11,21,9,22,15.5
2021,11,22,11,21,16
2021,11,23,10,20,15
2021,11,24,9,19,14
2021,11,25,9,20,14.5
2021,11,26,7,20,13.5
2021,11,27,8,19,13.5
2021,11,28,8,21,14.5
2021,11,29,9,21,15
2021,11,30,8,21,14.5
2021,12,1,8,20,14
2021,12,2,8,20,14
2021,12,3,8,20,14
2021,12,4,7,20,13.5
2021,12,5,10,18,14
2021,12,6,9,19,14
2021,12,7,9,19,14
2021,12,8,9,19,14
2021,12,9,9,20,14.5
2021,12,10,10,20,15
2021,12,11,9,20,14.5
2021,12,12,11,19,15
2021,12,13,7,20,13.5
2021,12,14,5,20,12.5
2021,12,15,5,21,13
2021,12,16,2,21,11.5
2021,12,17,6,21,13.5
2021,12,18,6,21,13.5
2021,12,19,6,19,12.5
2021,12,20,5,19,12
2021,12,21,6,19,12.5
2021,12,22,9,18,13.5
2021,12,23,6,17,11.5
2021,12,24,4,18,11
2021,12,25,5,18,11.5
